Admin_division,1980,1985,1990,1995,2000,2005,2008,2009,2010,longitude,latitude
Shanghai,2227,2249,2884,5366,9132,14401,17510,18398,19344,121.3895874,31.1645851
Beijing,1262,1560,2262,3830,7333,13341,17475,18741,19311,116.3842697,40.1637573
Tianjin,1109,1280,1702,2948,5274,10963,15345,16645,18561,117.3035812,39.2892151
Jiangsu,442,621,1029,2209,3576,7140,10468,11772,13436,119.4206619,32.9779549
Zhejiang,385,630,1043,2459,4077,7850,10832,11662,13149,120.0227737,29.1648922
Inner Mongolia,295,477,721,1138,1976,4724,9122,10570,12039,113.6940079,44.2556305
Guangdong,393,605,1212,2453,3871,7149,9847,10490,11375,113.3931961,23.3641453
Liaoning,663,834,1317,2076,3397,5533,8303,9350,10770,122.5685349,41.316761
Shandong,328,523,886,1721,2834,5782,8617,9548,10452,118.0826263,36.3261299
Fujian,284,435,860,1970,3402,5323,7784,8894,10177,117.9523087,26.0828342
Jilin,364,512,852,1329,2234,3872,6153,7074,8035,126.1430893,43.6854324
Hebei,349,424,715,1341,2307,4252,6013,6539,7290,116.075264,39.5433044
Hubei,350,472,752,1108,1913,3351,5195,6032,7096,112.2429733,30.9754181
Chongqing,292,368,576,1186,1907,3598,5361,6097,7017,107.8508148,30.0489902
Shaanxi,273,356,606,895,1510,3096,5154,5838,6899,108.8429871,35.2056923
Heilongjiang,567,627,990,1630,2521,4188,5688,5971,6885,127.7493668,47.8990326
Ningxia,353,435,680,1041,1634,3002,5130,5793,6845,106.1565933,37.2693291
Shanxi,361,494,746,1061,1739,3668,5626,5725,6683,112.2555847,37.5739708
Xinjiang,335,484,836,1419,2241,3802,5179,5305,6366,85.2505112,41.2742424
Hunan,298,369,599,1014,1649,3064,4748,5434,6286,111.6971588,27.6037712
Henan,259,342,532,995,1656,3291,5018,5479,6216,113.580925,33.8779335
Qinghai,387,477,760,1060,1562,2914,4819,5175,6132,96.0209351,35.7706413
Hainan,N/A,430,762,1528,2066,3238,4628,5122,6060,109.7417908,19.1949692
Jiangxi,279,352,553,874,1474,2738,4160,4611,5404,115.6918411,27.6045837
Sichuan,261,336,554,918,1506,2628,4054,4612,5386,102.7281723,30.6195335
Anhui,238,381,577,926,1453,2503,3780,4365,5311,117.200943,31.8226204
Guangxi,227,278,520,997,1414,2492,3833,4268,5141,108.7796478,23.8410645
Tibet Autonomous Region,385,528,623,712,1390,2621,3617,4069,4404,88.2402496,31.7402668
Gansu,317,359,536,699,1255,2169,3250,3530,4097,101.0212631,37.8691139
Yunnan,218,287,597,930,1450,2265,3289,3601,4005,101.5036545,24.9799309
Guizhou,179,248,395,551,839,1565,2578,2918,3336,106.8675079,26.812685
